Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
10/10/2011,10.41,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
11/10/2011,10.41,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
12/10/2011,10.41,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
13/10/2011,10.41,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
14/10/2011,10.41,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
17/10/2011,10.41,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
18/10/2011,10.41,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
19/10/2011,10.41,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
20/10/2011,10.41,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
21/10/2011,10.41,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
24/10/2011,10.41,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
25/10/2011,10.41,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
26/10/2011,10.41,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
27/10/2011,10.41,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
28/10/2011,10.41,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
31/10/2011,10.41,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
01/11/2011,10.41,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
02/11/2011,10.41,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
03/11/2011,10.41,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
04/11/2011,10.41,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
07/11/2011,10.41,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
08/11/2011,10.41,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
09/11/2011,10.41,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
10/11/2011,10.41,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
11/11/2011,10.41,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
14/11/2011,10.41,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
15/11/2011,10.41,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
16/11/2011,10.41,18.0,0(0.00 %),100,1800000,0,0,18.0,18.0,18.0
17/11/2011,10.41,18.0,0(0.00 %),0,0,2560,46080000,18.0,18.0,18.0
18/11/2011,10.41,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
21/11/2011,10.41,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
22/11/2011,10.41,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
23/11/2011,10.41,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
24/11/2011,10.41,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
25/11/2011,10.41,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
28/11/2011,10.41,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
29/11/2011,10.41,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
30/11/2011,10.41,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
01/12/2011,10.41,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
02/12/2011,10.41,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
05/12/2011,10.41,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
06/12/2011,10.41,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
07/12/2011,10.41,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
08/12/2011,10.41,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
09/12/2011,10.41,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
12/12/2011,10.41,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
13/12/2011,10.41,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
14/12/2011,10.41,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
15/12/2011,10.41,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
16/12/2011,10.41,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
19/12/2011,10.41,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
20/12/2011,10.41,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
21/12/2011,10.41,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
22/12/2011,10.41,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
23/12/2011,10.41,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
26/12/2011,10.41,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
27/12/2011,10.41,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
28/12/2011,10.41,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
29/12/2011,10.41,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
30/12/2011,10.41,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
04/01/2012,10.41,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
05/01/2012,10.41,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
06/01/2012,10.41,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
09/01/2012,10.41,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
10/01/2012,10.41,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
11/01/2012,10.41,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
12/01/2012,10.41,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
13/01/2012,10.41,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
16/01/2012,10.41,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
17/01/2012,10.41,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
18/01/2012,10.41,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
19/01/2012,10.41,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
20/01/2012,10.41,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
30/01/2012,10.41,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
31/01/2012,10.41,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
01/02/2012,10.41,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
02/02/2012,10.41,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
03/02/2012,10.41,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
06/02/2012,10.41,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
07/02/2012,10.41,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
08/02/2012,10.41,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
09/02/2012,10.41,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
10/02/2012,10.41,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
13/02/2012,10.41,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
14/02/2012,10.41,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
15/02/2012,10.41,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
16/02/2012,10.41,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
17/02/2012,10.41,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
20/02/2012,10.41,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
21/02/2012,10.41,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
22/02/2012,10.41,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
23/02/2012,10.41,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
24/02/2012,10.41,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
27/02/2012,10.41,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
28/02/2012,10.41,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
29/02/2012,10.41,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
01/03/2012,10.41,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
02/03/2012,10.41,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
