Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
22/02/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
23/02/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
24/02/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
25/02/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
26/02/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
29/02/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
01/03/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
02/03/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
03/03/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
04/03/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
07/03/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
08/03/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
09/03/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
10/03/2016,2.0,2.0,0(0.00 %),100,200000,0,0,2.0,2.0,2.0
11/03/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
14/03/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
15/03/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
16/03/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
17/03/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
18/03/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
21/03/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
22/03/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
23/03/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
24/03/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
25/03/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
28/03/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
29/03/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
30/03/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
31/03/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
01/04/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
04/04/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
05/04/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
06/04/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
07/04/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
08/04/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
11/04/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
12/04/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
13/04/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
14/04/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
15/04/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
19/04/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
20/04/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
21/04/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
22/04/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
25/04/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
26/04/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
27/04/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
28/04/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
29/04/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
04/05/2016,2.0,2.0,0(0.00 %),100,200000,0,0,2.0,2.0,2.0
05/05/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
06/05/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
09/05/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
10/05/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
11/05/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
12/05/2016,2.0,2.0,0(0.00 %),0,0,1320000,2640000000,2.0,2.0,2.0
13/05/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
16/05/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
17/05/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
18/05/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
19/05/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
20/05/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
23/05/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
24/05/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
25/05/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
26/05/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
27/05/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
30/05/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
31/05/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
01/06/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
02/06/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
03/06/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
06/06/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
07/06/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
08/06/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
09/06/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
10/06/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
13/06/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
14/06/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
15/06/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
16/06/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
17/06/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
20/06/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
21/06/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
22/06/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
23/06/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
24/06/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
27/06/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
28/06/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
29/06/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
30/06/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
01/07/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
04/07/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
05/07/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
06/07/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
07/07/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
08/07/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
11/07/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
12/07/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
13/07/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
14/07/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
15/07/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
18/07/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
19/07/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
20/07/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
21/07/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
22/07/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
25/07/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
26/07/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
27/07/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
28/07/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
29/07/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
01/08/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
02/08/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
03/08/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
04/08/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
05/08/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
08/08/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
09/08/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
10/08/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
11/08/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
12/08/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
15/08/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
16/08/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
17/08/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
18/08/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
19/08/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
22/08/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
23/08/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
24/08/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
25/08/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
26/08/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
29/08/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
30/08/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
31/08/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
01/09/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
05/09/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
06/09/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
07/09/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
08/09/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
09/09/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
12/09/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
13/09/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
14/09/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
15/09/2016,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
16/09/2016,2.3,2.3,0.3(15.00 %),1000,2300000,0,0,2.3,2.3,2.3
19/09/2016,2.3,2.3,0(0.00 %),0,0,0,0,2.3,2.3,2.3
20/09/2016,2.3,2.3,0(0.00 %),0,0,0,0,2.3,2.3,2.3
21/09/2016,2.3,2.3,0(0.00 %),0,0,0,0,2.3,2.3,2.3
22/09/2016,2.3,2.3,0(0.00 %),0,0,0,0,2.3,2.3,2.3
23/09/2016,2.3,2.3,0(0.00 %),0,0,0,0,2.3,2.3,2.3
26/09/2016,2.3,2.3,0(0.00 %),0,0,0,0,2.3,2.3,2.3
27/09/2016,2.3,2.3,0(0.00 %),0,0,0,0,2.3,2.3,2.3
28/09/2016,2.3,2.3,0(0.00 %),0,0,0,0,2.3,2.3,2.3
29/09/2016,2.3,2.3,0(0.00 %),0,0,0,0,2.3,2.3,2.3
30/09/2016,2.3,2.3,0(0.00 %),0,0,0,0,2.3,2.3,2.3
03/10/2016,2.3,2.3,0(0.00 %),0,0,0,0,2.3,2.3,2.3
04/10/2016,2.3,2.3,0(0.00 %),0,0,0,0,2.3,2.3,2.3
05/10/2016,2.3,2.3,0(0.00 %),0,0,0,0,2.3,2.3,2.3
06/10/2016,2.3,2.3,0(0.00 %),0,0,0,0,2.3,2.3,2.3
07/10/2016,2.3,2.3,0(0.00 %),0,0,0,0,2.3,2.3,2.3
10/10/2016,2.3,2.3,0(0.00 %),0,0,0,0,2.3,2.3,2.3
11/10/2016,2.3,2.3,0(0.00 %),0,0,0,0,2.3,2.3,2.3
12/10/2016,2.3,2.3,0(0.00 %),0,0,0,0,2.3,2.3,2.3
13/10/2016,2.3,2.3,0(0.00 %),0,0,0,0,2.3,2.3,2.3
14/10/2016,2.3,2.3,0(0.00 %),0,0,0,0,2.3,2.3,2.3
17/10/2016,2.3,2.3,0(0.00 %),0,0,0,0,2.3,2.3,2.3
18/10/2016,2.3,2.3,0(0.00 %),0,0,0,0,2.3,2.3,2.3
19/10/2016,2.3,2.3,0(0.00 %),0,0,0,0,2.3,2.3,2.3
20/10/2016,2.3,2.3,0(0.00 %),0,0,0,0,2.3,2.3,2.3
21/10/2016,2.3,2.3,0(0.00 %),0,0,0,0,2.3,2.3,2.3
24/10/2016,2.3,2.3,0(0.00 %),0,0,0,0,2.3,2.3,2.3
25/10/2016,2.3,2.3,0(0.00 %),0,0,0,0,2.3,2.3,2.3
26/10/2016,2.3,2.3,0(0.00 %),0,0,0,0,2.3,2.3,2.3
27/10/2016,2.3,2.3,0(0.00 %),0,0,0,0,2.3,2.3,2.3
28/10/2016,2.3,2.3,0(0.00 %),0,0,0,0,2.3,2.3,2.3
31/10/2016,2.3,2.3,0(0.00 %),0,0,0,0,2.3,2.3,2.3
01/11/2016,2.3,2.3,0(0.00 %),0,0,0,0,2.3,2.3,2.3
02/11/2016,2.3,2.3,0(0.00 %),0,0,0,0,2.3,2.3,2.3
03/11/2016,2.3,2.3,0(0.00 %),0,0,0,0,2.3,2.3,2.3
04/11/2016,2.3,2.3,0(0.00 %),0,0,0,0,2.3,2.3,2.3
07/11/2016,2.3,2.3,0(0.00 %),0,0,0,0,2.3,2.3,2.3
08/11/2016,2.3,2.3,0(0.00 %),0,0,0,0,2.3,2.3,2.3
09/11/2016,2.3,2.3,0(0.00 %),0,0,0,0,2.3,2.3,2.3
10/11/2016,2.3,2.3,0(0.00 %),0,0,0,0,2.3,2.3,2.3
11/11/2016,2.3,2.3,0(0.00 %),0,0,0,0,2.3,2.3,2.3
14/11/2016,2.3,2.3,0(0.00 %),0,0,0,0,2.3,2.3,2.3
15/11/2016,2.3,2.3,0(0.00 %),0,0,0,0,2.3,2.3,2.3
16/11/2016,2.3,2.3,0(0.00 %),0,0,0,0,2.3,2.3,2.3
17/11/2016,2.3,2.3,0(0.00 %),0,0,0,0,2.3,2.3,2.3
18/11/2016,2.3,2.3,0(0.00 %),0,0,0,0,2.3,2.3,2.3
21/11/2016,2.3,2.3,0(0.00 %),0,0,0,0,2.3,2.3,2.3
22/11/2016,2.3,2.3,0(0.00 %),0,0,0,0,2.3,2.3,2.3
23/11/2016,2.3,2.3,0(0.00 %),0,0,0,0,2.3,2.3,2.3
24/11/2016,2.3,2.3,0(0.00 %),0,0,0,0,2.3,2.3,2.3
25/11/2016,2.3,2.3,0(0.00 %),0,0,0,0,2.3,2.3,2.3
28/11/2016,2.3,2.3,0(0.00 %),0,0,0,0,2.3,2.3,2.3
29/11/2016,2.3,2.3,0(0.00 %),0,0,0,0,2.3,2.3,2.3
30/11/2016,2.3,2.3,0(0.00 %),0,0,0,0,2.3,2.3,2.3
01/12/2016,2.3,2.3,0(0.00 %),0,0,0,0,2.3,2.3,2.3
02/12/2016,2.3,2.3,0(0.00 %),0,0,0,0,2.3,2.3,2.3
05/12/2016,2.3,2.3,0(0.00 %),0,0,0,0,2.3,2.3,2.3
06/12/2016,2.3,2.3,0(0.00 %),0,0,0,0,2.3,2.3,2.3
07/12/2016,2.3,2.3,0(0.00 %),0,0,0,0,2.3,2.3,2.3
08/12/2016,2.3,2.3,0(0.00 %),0,0,0,0,2.3,2.3,2.3
09/12/2016,2.3,2.3,0(0.00 %),0,0,0,0,2.3,2.3,2.3
12/12/2016,2.3,2.3,0(0.00 %),0,0,0,0,2.3,2.3,2.3
13/12/2016,2.3,2.3,0(0.00 %),0,0,0,0,2.3,2.3,2.3
14/12/2016,2.3,2.3,0(0.00 %),0,0,0,0,2.3,2.3,2.3
15/12/2016,2.3,2.3,0(0.00 %),0,0,0,0,2.3,2.3,2.3
16/12/2016,2.3,2.3,0(0.00 %),0,0,0,0,2.3,2.3,2.3
19/12/2016,2.3,2.3,0(0.00 %),0,0,0,0,2.3,2.3,2.3
20/12/2016,2.3,2.3,0(0.00 %),0,0,0,0,2.3,2.3,2.3
21/12/2016,2.3,2.3,0(0.00 %),0,0,0,0,2.3,2.3,2.3
22/12/2016,2.3,2.3,0(0.00 %),0,0,0,0,2.3,2.3,2.3
23/12/2016,2.3,2.3,0(0.00 %),0,0,0,0,2.3,2.3,2.3
