Ngay,KLGDRong,GTDGRong,ThayDoi,KLMua,GtMua,KLBan,GtBan,RoomConLai,DangSoHuu
08/08/2022,0,0,0(0.00 %),0,0,0,0,-33000,0.12
09/08/2022,0,0,0(0.00 %),0,0,0,0,-33000,0.12
10/08/2022,0,0,0(0.00 %),0,0,0,0,-33000,0.12
11/08/2022,0,0,0(0.00 %),0,0,0,0,-33000,0.12
12/08/2022,0,0,0(0.00 %),0,0,0,0,-33000,0.12
15/08/2022,0,0,0(0.00 %),0,0,0,0,0,0.12
16/08/2022,0,0,0(0.00 %),0,0,0,0,0,0.12
17/08/2022,0,0,0(0.00 %),0,0,0,0,-33000,0.12
18/08/2022,0,0,0(0.00 %),0,0,0,0,-33000,0.12
19/08/2022,0,0,0(0.00 %),0,0,0,0,-33000,0.12
22/08/2022,0,0,0(0.00 %),0,0,0,0,-33000,0.12
23/08/2022,0,0,0(0.00 %),0,0,0,0,-33000,0.12
24/08/2022,0,0,0(0.00 %),0,0,0,0,-33000,0.12
25/08/2022,0,0,0(0.00 %),0,0,0,0,0,0.12
26/08/2022,0,0,0(0.00 %),0,0,0,0,-33000,0.12
29/08/2022,0,0,0(0.00 %),0,0,0,0,-33000,0.12
30/08/2022,0,0,0(0.00 %),0,0,0,0,-33000,0.12
31/08/2022,0,0,0(0.00 %),0,0,0,0,-33000,0.12
05/09/2022,0,0,0(0.00 %),0,0,0,0,-33000,0.12
06/09/2022,0,0,0(0.00 %),0,0,0,0,-33000,0.12
07/09/2022,0,0,0(0.00 %),0,0,0,0,-33000,0.12
08/09/2022,0,0,0(0.00 %),0,0,0,0,-33000,0.12
09/09/2022,0,0,0(0.00 %),0,0,0,0,-33000,0.12
12/09/2022,0,0,0(0.00 %),0,0,0,0,-33000,0.12
13/09/2022,0,0,0(0.00 %),0,0,0,0,-33000,0.12
14/09/2022,0,0,0(0.00 %),0,0,0,0,-33000,0.12
15/09/2022,0,0,0(0.00 %),0,0,0,0,0,0.12
16/09/2022,0,0,0(0.00 %),0,0,0,0,-33000,0.12
19/09/2022,0,0,0(0.00 %),0,0,0,0,-33000,0.0
20/09/2022,0,0,0(0.00 %),0,0,0,0,-33000,0.12
21/09/2022,0,0,0(0.00 %),0,0,0,0,-33000,0.12
22/09/2022,0,0,0(0.00 %),0,0,0,0,-33000,0.12
23/09/2022,0,0,0(0.00 %),0,0,0,0,0,343.0
26/09/2022,0,0,0(0.00 %),0,0,0,0,-33000,0.12
27/09/2022,0,0,0(0.00 %),0,0,0,0,-33000,0.12
28/09/2022,0,0,0(0.00 %),0,0,0,0,-33000,0.12
29/09/2022,0,0,0(0.00 %),0,0,0,0,-33000,0.12
30/09/2022,0,0,0(0.00 %),0,0,0,0,-33000,0.12
03/10/2022,0,0,0(0.00 %),0,0,0,0,-33000,0.12
04/10/2022,0,0,0(0.00 %),0,0,0,0,-33000,0.12
05/10/2022,0,0,0(0.00 %),0,0,0,0,-33000,0.12
06/10/2022,0,0,0(0.00 %),0,0,0,0,-33000,0.12
07/10/2022,0,0,0(0.00 %),0,0,0,0,-33000,0.12
10/10/2022,0,0,0(0.00 %),0,0,0,0,-33000,0.12
11/10/2022,0,0,0(0.00 %),0,0,0,0,-33000,0.12
12/10/2022,0,0,0(0.00 %),0,0,0,0,-33000,0.12
13/10/2022,0,0,0(0.00 %),0,0,0,0,-33000,0.12
14/10/2022,0,0,0(0.00 %),0,0,0,0,-33000,0.12
17/10/2022,0,0,0(0.00 %),0,0,0,0,-33000,0.12
18/10/2022,0,0,0(0.00 %),0,0,0,0,-33000,0.12
19/10/2022,0,0,0(0.00 %),0,0,0,0,0,0.12
20/10/2022,0,0,0(0.00 %),0,0,0,0,0,0.12
21/10/2022,0,0,0(0.00 %),0,0,0,0,0,0.12
24/10/2022,0,0,0(0.00 %),0,0,0,0,-33000,0.12
25/10/2022,0,0,0(0.00 %),0,0,0,0,-33000,0.12
26/10/2022,0,0,0(0.00 %),0,0,0,0,-33000,0.12
27/10/2022,0,0,0(0.00 %),0,0,0,0,-33000,0.12
28/10/2022,0,0,0(0.00 %),0,0,0,0,-33000,0.12
31/10/2022,0,0,0(0.00 %),0,0,0,0,-33000,0.12
01/11/2022,0,0,0(0.00 %),0,0,0,0,-33000,0.12
02/11/2022,0,0,0(0.00 %),0,0,0,0,-33000,0.12
03/11/2022,0,0,0(0.00 %),0,0,0,0,-33000,0.12
04/11/2022,0,0,0(0.00 %),0,0,0,0,-33000,0.12
07/11/2022,0,0,0(0.00 %),0,0,0,0,-33000,0.12
08/11/2022,0,0,0(0.00 %),0,0,0,0,0,343.0
09/11/2022,0,0,0(0.00 %),0,0,0,0,-33000,0.12
10/11/2022,0,0,0(0.00 %),0,0,0,0,-33000,0.12
11/11/2022,0,0,0(0.00 %),0,0,0,0,-33000,0.12
14/11/2022,0,0,0(0.00 %),0,0,0,0,-33000,0.12
15/11/2022,0,0,0(0.00 %),0,0,0,0,-33000,0.12
16/11/2022,0,0,0(0.00 %),0,0,0,0,-33000,0.12
17/11/2022,0,0,0(0.00 %),0,0,0,0,-33000,0.12
18/11/2022,0,0,0(0.00 %),0,0,0,0,-33000,0.12
21/11/2022,0,0,0(0.00 %),0,0,0,0,-33000,0.12
22/11/2022,0,0,0(0.00 %),0,0,0,0,-33000,0.12
23/11/2022,0,0,0(0.00 %),0,0,0,0,-33000,0.12
24/11/2022,0,0,0(0.00 %),0,0,0,0,-33000,0.12
25/11/2022,0,0,0(0.00 %),0,0,0,0,-33000,0.12
28/11/2022,0,0,0(0.00 %),0,0,0,0,-33000,0.0
29/11/2022,0,0,0(0.00 %),0,0,0,0,-33000,0.0
30/11/2022,0,0,0(0.00 %),0,0,0,0,-33000,0.0
01/12/2022,0,0,0(0.00 %),0,0,0,0,-33000,0.0
02/12/2022,0,0,0(0.00 %),0,0,0,0,-33000,0.0
05/12/2022,0,0,0(0.00 %),0,0,0,0,-33000,0.0
06/12/2022,0,0,0(0.00 %),0,0,0,0,-33000,0.0
07/12/2022,0,0,0(0.00 %),0,0,0,0,-33000,0.0
08/12/2022,0,0,0(0.00 %),0,0,0,0,-33000,0.12
09/12/2022,0,0,0(0.00 %),0,0,0,0,-33000,0.12
12/12/2022,0,0,0(0.00 %),0,0,0,0,-33000,0.0
13/12/2022,0,0,0(0.00 %),0,0,0,0,-33000,0.0
14/12/2022,0,0,0(0.00 %),0,0,0,0,-33000,0.0
15/12/2022,0,0,0(0.00 %),0,0,0,0,-33000,0.0
16/12/2022,0,0,0(0.00 %),0,0,0,0,-33000,0.0
19/12/2022,0,0,0(0.00 %),0,0,0,0,-33000,0.0
20/12/2022,0,0,0(0.00 %),0,0,0,0,-33000,0.0
21/12/2022,0,0,0(0.00 %),0,0,0,0,-33000,0.0
22/12/2022,0,0,0(0.00 %),0,0,0,0,-33000,0.0
23/12/2022,0,0,0(0.00 %),0,0,0,0,-33000,0.0
26/12/2022,0,0,0(0.00 %),0,0,0,0,-33000,0.0
27/12/2022,0,0,0(0.00 %),0,0,0,0,-33000,0.0
28/12/2022,0,0,0(0.00 %),0,0,0,0,-33000,0.12
29/12/2022,0,0,0(0.00 %),0,0,0,0,-33000,0.12
30/12/2022,0,0,0(0.00 %),0,0,0,0,-33000,0.12
03/01/2023,0,0,0(0.00 %),0,0,0,0,-33000,0.0
04/01/2023,0,0,0(0.00 %),0,0,0,0,-33000,0.12
05/01/2023,0,0,0(0.00 %),0,0,0,0,-33000,0.12
06/01/2023,0,0,0(0.00 %),0,0,0,0,-33000,0.12
09/01/2023,0,0,0(0.00 %),0,0,0,0,-33000,0.12
10/01/2023,0,0,0(0.00 %),0,0,0,0,-33000,0.12
11/01/2023,0,0,0(0.00 %),0,0,0,0,-33000,0.12
12/01/2023,0,0,0(0.00 %),0,0,0,0,-33000,0.12
13/01/2023,0,0,0(0.00 %),0,0,0,0,-33000,0.12
16/01/2023,0,0,0(0.00 %),0,0,0,0,-33000,0.12
17/01/2023,0,0,0(0.00 %),0,0,0,0,-33000,0.12
18/01/2023,0,0,0(0.00 %),0,0,0,0,-33000,0.12
19/01/2023,0,0,0(0.00 %),0,0,0,0,-33000,0.12
27/01/2023,0,0,0(0.00 %),0,0,0,0,-33000,0.12
30/01/2023,0,0,0(0.00 %),0,0,0,0,-33000,0.12
31/01/2023,0,0,0(0.00 %),0,0,0,0,-33000,0.12
01/02/2023,0,0,0(0.00 %),0,0,0,0,0,0.12
02/02/2023,0,0,0(0.00 %),0,0,0,0,0,0.12
03/02/2023,0,0,0(0.00 %),0,0,0,0,-33000,0.12
06/02/2023,0,0,0(0.00 %),0,0,0,0,-33000,0.12
07/02/2023,0,0,0(0.00 %),0,0,0,0,-33000,0.12
08/02/2023,0,0,0(0.00 %),0,0,0,0,-33000,0.12
09/02/2023,0,0,0(0.00 %),0,0,0,0,-33000,0.12
10/02/2023,0,0,0(0.00 %),0,0,0,0,-33000,0.12
13/02/2023,0,0,0(0.00 %),0,0,0,0,-33000,0.12
14/02/2023,0,0,0(0.00 %),0,0,0,0,-33000,0.12
15/02/2023,0,0,0(0.00 %),0,0,0,0,-33000,0.12
16/02/2023,0,0,0(0.00 %),0,0,0,0,-33000,0.12
17/02/2023,0,0,0(0.00 %),0,0,0,0,-33000,0.12
20/02/2023,0,0,0(0.00 %),0,0,0,0,-33000,0.12
21/02/2023,0,0,0(0.00 %),0,0,0,0,-33000,0.12
22/02/2023,0,0,0(0.00 %),0,0,0,0,-33000,0.12
23/02/2023,0,0,0(0.00 %),0,0,0,0,-33000,0.12
24/02/2023,0,0,0(0.00 %),0,0,0,0,-33000,0.0
27/02/2023,0,0,0(0.00 %),0,0,0,0,0,0.12
28/02/2023,0,0,0(0.00 %),0,0,0,0,-33000,0.12
01/03/2023,0,0,0(0.00 %),0,0,0,0,0,0.12
02/03/2023,0,0,0(0.00 %),0,0,0,0,-33000,0.12
03/03/2023,0,0,0(0.00 %),0,0,0,0,-33000,0.12
06/03/2023,0,0,0(0.00 %),0,0,0,0,-33000,0.12
07/03/2023,0,0,0(0.00 %),0,0,0,0,-33000,0.12
08/03/2023,0,0,0(0.00 %),0,0,0,0,0,0.12
09/03/2023,0,0,0(0.00 %),0,0,0,0,0,0.12
10/03/2023,0,0,0(0.00 %),0,0,0,0,-33000,0.12
13/03/2023,0,0,0(0.00 %),0,0,0,0,-33000,0.0
14/03/2023,0,0,0(0.00 %),0,0,0,0,-33000,0.12
15/03/2023,0,0,0(0.00 %),0,0,0,0,-33000,0.12
16/03/2023,0,0,0(0.00 %),0,0,0,0,-33000,0.12
17/03/2023,0,0,0(0.00 %),0,0,0,0,-33000,0.12
20/03/2023,0,0,0(0.00 %),0,0,0,0,-33000,0.12
21/03/2023,0,0,0(0.00 %),0,0,0,0,0,0.12
22/03/2023,0,0,0(0.00 %),0,0,0,0,-33000,0.12
23/03/2023,0,0,0(0.00 %),0,0,0,0,-33000,0.12
24/03/2023,0,0,0(0.00 %),0,0,0,0,-33000,0.12
27/03/2023,0,0,0(0.00 %),0,0,0,0,-33000,0.12
28/03/2023,0,0,0(0.00 %),0,0,0,0,-33000,0.0
29/03/2023,0,0,0(0.00 %),0,0,0,0,-33000,0.12
30/03/2023,0,0,0(0.00 %),0,0,0,0,-33000,0.12
31/03/2023,0,0,0(0.00 %),0,0,0,0,-33000,0.12
03/04/2023,0,0,0(0.00 %),0,0,0,0,-33000,0.12
04/04/2023,0,0,0(0.00 %),0,0,0,0,-33000,0.12
05/04/2023,0,0,0(0.00 %),0,0,0,0,-33000,0.12
06/04/2023,0,0,0(0.00 %),0,0,0,0,-33000,0.12
07/04/2023,0,0,0(0.00 %),0,0,0,0,0,343.0
10/04/2023,0,0,0(0.00 %),0,0,0,0,-33000,0.12
11/04/2023,0,0,0(0.00 %),0,0,0,0,-33000,0.12
12/04/2023,0,0,0(0.00 %),0,0,0,0,0,343.0
13/04/2023,0,0,0(0.00 %),0,0,0,0,-33000,0.12
14/04/2023,0,0,0(0.00 %),0,0,0,0,-33000,0.12
17/04/2023,0,0,0(0.00 %),0,0,0,0,-33000,0.12
18/04/2023,0,0,0(0.00 %),0,0,0,0,-33000,0.12
19/04/2023,0,0,0(0.00 %),0,0,0,0,-33000,0.12
20/04/2023,0,0,0(0.00 %),0,0,0,0,0,343.0
21/04/2023,0,0,0(0.00 %),0,0,0,0,-33000,0.12
24/04/2023,0,0,0(0.00 %),0,0,0,0,-33000,0.12
25/04/2023,0,0,0(0.00 %),0,0,0,0,-33000,0.12
26/04/2023,0,0,0(0.00 %),0,0,0,0,-33000,0.12
27/04/2023,0,0,0(0.00 %),0,0,0,0,0,343.0
28/04/2023,0,0,0(0.00 %),0,0,0,0,0,343.0
04/05/2023,0,0,0(0.00 %),0,0,0,0,0,343.0
05/05/2023,0,0,0(0.00 %),0,0,0,0,-33000,0.12
08/05/2023,0,0,0(0.00 %),0,0,0,0,-33000,0.12
09/05/2023,0,0,0(0.00 %),0,0,0,0,-33000,0.12
10/05/2023,0,0,0(0.00 %),0,0,0,0,0,343.0
11/05/2023,0,0,0(0.00 %),0,0,0,0,-33000,0.12
12/05/2023,0,0,0(0.00 %),0,0,0,0,-33000,0.12
15/05/2023,0,0,0(0.00 %),0,0,0,0,0,343.0
16/05/2023,0,0,0(0.00 %),0,0,0,0,0,343.0
17/05/2023,0,0,0(0.00 %),0,0,0,0,0,343.0
18/05/2023,0,0,0(0.00 %),0,0,0,0,0,343.0
19/05/2023,0,0,0(0.00 %),0,0,0,0,0,343.0
22/05/2023,0,0,0(0.00 %),0,0,0,0,0,343.0
23/05/2023,0,0,0(0.00 %),0,0,0,0,0,343.0
24/05/2023,0,0,0(0.00 %),0,0,0,0,0,343.0
25/05/2023,0,0,0(0.00 %),0,0,0,0,0,343.0
26/05/2023,0,0,0(0.00 %),0,0,0,0,0,343.0
29/05/2023,0,0,0(0.00 %),0,0,0,0,0,343.0
30/05/2023,0,0,0(0.00 %),0,0,0,0,0,343.0
31/05/2023,0,0,0(0.00 %),0,0,0,0,0,343.0
01/06/2023,0,0,0(0.00 %),0,0,0,0,0,343.0
02/06/2023,0,0,0(0.00 %),0,0,0,0,0,343.0
05/06/2023,0,0,0(0.00 %),0,0,0,0,0,343.0
06/06/2023,0,0,0(0.00 %),0,0,0,0,0,343.0
07/06/2023,0,0,0(0.00 %),0,0,0,0,0,343.0
08/06/2023,0,0,0(0.00 %),0,0,0,0,0,343.0
09/06/2023,0,0,0(0.00 %),0,0,0,0,0,343.0
12/06/2023,0,0,0(0.00 %),0,0,0,0,0,343.0
13/06/2023,0,0,0(0.00 %),0,0,0,0,0,343.0
14/06/2023,0,0,0(0.00 %),0,0,0,0,0,343.0
15/06/2023,0,0,0(0.00 %),0,0,0,0,0,343.0
16/06/2023,0,0,0(0.00 %),0,0,0,0,-33000,0.12
19/06/2023,0,0,0(0.00 %),0,0,0,0,-33000,0.12
20/06/2023,0,0,0(0.00 %),0,0,0,0,-33000,0.12
21/06/2023,0,0,0(0.00 %),0,0,0,0,-33000,0.12
22/06/2023,0,0,0(0.00 %),0,0,0,0,0,343.0
23/06/2023,0,0,0(0.00 %),0,0,0,0,-33000,0.12
26/06/2023,0,0,0(0.00 %),0,0,0,0,-33000,0.12
27/06/2023,0,0,0(0.00 %),0,0,0,0,-33000,0.12
28/06/2023,0,0,0(0.00 %),0,0,0,0,-33000,0.12
29/06/2023,0,0,0(0.00 %),0,0,0,0,-33000,0.12
30/06/2023,0,0,0(0.00 %),0,0,0,0,-33000,0.12
03/07/2023,0,0,0(0.00 %),0,0,0,0,-33000,0.12
04/07/2023,0,0,0(0.00 %),0,0,0,0,-33000,0.12
05/07/2023,0,0,0(0.00 %),0,0,0,0,-33000,0.12
06/07/2023,0,0,0(0.00 %),0,0,0,0,-33000,0.12
07/07/2023,0,0,0(0.00 %),0,0,0,0,-33000,0.12
10/07/2023,0,0,0(0.00 %),0,0,0,0,-33000,0.12
11/07/2023,0,0,0(0.00 %),0,0,0,0,-33000,0.12
12/07/2023,0,0,0(0.00 %),0,0,0,0,-33000,0.12
13/07/2023,0,0,0(0.00 %),0,0,0,0,-33000,0.12
14/07/2023,0,0,0(0.00 %),0,0,0,0,-33000,0.12
17/07/2023,0,0,0(0.00 %),0,0,0,0,-33000,0.12
18/07/2023,0,0,0(0.00 %),0,0,0,0,-33000,0.12
19/07/2023,0,0,0(0.00 %),0,0,0,0,-33000,0.12
20/07/2023,0,0,0(0.00 %),0,0,0,0,-33000,0.12
21/07/2023,0,0,0(0.00 %),0,0,0,0,-33000,0.12
24/07/2023,0,0,0(0.00 %),0,0,0,0,-33000,0.12
25/07/2023,0,0,0(0.00 %),0,0,0,0,-33000,0.12
26/07/2023,0,0,0(0.00 %),0,0,0,0,0,343.0
27/07/2023,0,0,0(0.00 %),0,0,0,0,0,343.0
28/07/2023,0,0,0(0.00 %),0,0,0,0,0,0.0
31/07/2023,0,0,0(0.00 %),0,0,0,0,-33000,0.12
01/08/2023,0,0,0(0.00 %),0,0,0,0,-33000,0.12
02/08/2023,0,0,0(0.00 %),0,0,0,0,-33000,0.12
03/08/2023,0,0,0(0.00 %),0,0,0,0,-33000,0.12
04/08/2023,0,0,0(0.00 %),0,0,0,0,0,0.12
07/08/2023,-100,-400000,0(0.00 %),0,0,100,400000,0,343.0
08/08/2023,0,0,0(0.00 %),0,0,0,0,0,343.0
09/08/2023,0,0,0(0.00 %),0,0,0,0,0,343.0
10/08/2023,0,0,0(0.00 %),0,0,0,0,0,343.0
11/08/2023,0,0,0(0.00 %),0,0,0,0,0,343.0
14/08/2023,0,0,0(0.00 %),0,0,0,0,0,0.12
15/08/2023,0,0,0(0.00 %),0,0,0,0,-32900,0.12
16/08/2023,0,0,0(0.00 %),0,0,0,0,-32900,0.12
17/08/2023,0,0,0(0.00 %),0,0,0,0,-32900,0.12
18/08/2023,0,0,0(0.00 %),0,0,0,0,-32900,0.12
21/08/2023,0,0,0(0.00 %),0,0,0,0,-32900,0.12
22/08/2023,0,0,0(0.00 %),0,0,0,0,-32900,0.12
23/08/2023,0,0,0(0.00 %),0,0,0,0,-32900,0.12
24/08/2023,0,0,0(0.00 %),0,0,0,0,-32900,0.12
25/08/2023,0,0,0(0.00 %),0,0,0,0,0,0.0
28/08/2023,0,0,0(0.00 %),0,0,0,0,-32900,0.12
29/08/2023,0,0,0(0.00 %),0,0,0,0,-32900,0.12
30/08/2023,0,0,0(0.00 %),0,0,0,0,-32900,0.12
31/08/2023,0,0,0(0.00 %),0,0,0,0,-32900,0.12
05/09/2023,0,0,0(0.00 %),0,0,0,0,-32900,0.12
06/09/2023,0,0,0(0.00 %),0,0,0,0,0,0.0
07/09/2023,0,0,0(0.00 %),0,0,0,0,-32900,0.12
08/09/2023,0,0,0(0.00 %),0,0,0,0,-32900,0.12
11/09/2023,0,0,0(0.00 %),0,0,0,0,-32900,0.12
12/09/2023,0,0,0(0.00 %),0,0,0,0,-32900,0.12
13/09/2023,0,0,0(0.00 %),0,0,0,0,-32900,0.12
14/09/2023,0,0,0(0.00 %),0,0,0,0,-32900,0.12
15/09/2023,0,0,0(0.00 %),0,0,0,0,-32900,0.12
18/09/2023,0,0,0(0.00 %),0,0,0,0,0,343.0
19/09/2023,0,0,0(0.00 %),0,0,0,0,0,343.0
20/09/2023,0,0,0(0.00 %),0,0,0,0,0,343.0
21/09/2023,0,0,0(0.00 %),0,0,0,0,-32900,0.12
22/09/2023,0,0,0(0.00 %),0,0,0,0,-32900,0.12
25/09/2023,0,0,0(0.00 %),0,0,0,0,-32900,0.12
26/09/2023,0,0,0(0.00 %),0,0,0,0,-32900,0.12
27/09/2023,0,0,0(0.00 %),0,0,0,0,0,0.0
28/09/2023,0,0,0(0.00 %),0,0,0,0,0,0.0
29/09/2023,0,0,0(0.00 %),0,0,0,0,-32900,0.12
02/10/2023,0,0,0(0.00 %),0,0,0,0,-32900,0.12
03/10/2023,0,0,0(0.00 %),0,0,0,0,-32900,0.12
04/10/2023,0,0,0(0.00 %),0,0,0,0,-32900,0.12
05/10/2023,0,0,0(0.00 %),0,0,0,0,-32900,0.12
06/10/2023,0,0,0(0.00 %),0,0,0,0,-32900,0.12
09/10/2023,0,0,0(0.00 %),0,0,0,0,-32900,0.12
10/10/2023,0,0,0(0.00 %),0,0,0,0,-32900,0.12
11/10/2023,0,0,0(0.00 %),0,0,0,0,-32900,0.12
12/10/2023,0,0,0(0.00 %),0,0,0,0,-32900,0.12
13/10/2023,0,0,0(0.00 %),0,0,0,0,-32900,0.12
16/10/2023,0,0,0(0.00 %),0,0,0,0,-32900,0.12
17/10/2023,0,0,0(0.00 %),0,0,0,0,-32900,0.12
18/10/2023,0,0,0(0.00 %),0,0,0,0,-32900,0.12
19/10/2023,0,0,0(0.00 %),0,0,0,0,-32900,0.12
20/10/2023,0,0,0(0.00 %),0,0,0,0,-32900,0.12
23/10/2023,0,0,0(0.00 %),0,0,0,0,-32900,0.12
24/10/2023,0,0,0(0.00 %),0,0,0,0,0,0.0
25/10/2023,0,0,0(0.00 %),0,0,0,0,-32900,0.12
26/10/2023,0,0,0(0.00 %),0,0,0,0,-32900,0.12
27/10/2023,0,0,0(0.00 %),0,0,0,0,-32900,0.12
30/10/2023,0,0,0(0.00 %),0,0,0,0,-32900,0.12
31/10/2023,0,0,0(0.00 %),0,0,0,0,-32900,0.12
01/11/2023,0,0,0(0.00 %),0,0,0,0,-32900,0.12
02/11/2023,0,0,0(0.00 %),0,0,0,0,-32900,0.12
03/11/2023,0,0,0(0.00 %),0,0,0,0,-32900,0.12
06/11/2023,0,0,0(0.00 %),0,0,0,0,-32900,0.12
07/11/2023,0,0,0(0.00 %),0,0,0,0,0,343.0
08/11/2023,0,0,0(0.00 %),0,0,0,0,-32900,0.12
09/11/2023,0,0,0(0.00 %),0,0,0,0,-32900,0.12
10/11/2023,0,0,0(0.00 %),0,0,0,0,-32900,0.12
13/11/2023,0,0,0(0.00 %),0,0,0,0,-329,0.12
14/11/2023,0,0,0(0.00 %),0,0,0,0,-329,0.12
15/11/2023,0,0,0(0.00 %),0,0,0,0,-329,0.12
16/11/2023,0,0,0(0.00 %),0,0,0,0,0,343.0
17/11/2023,0,0,0(0.00 %),0,0,0,0,-32900,0.12
20/11/2023,0,0,0(0.00 %),0,0,0,0,-329,0.12
21/11/2023,0,0,0(0.00 %),0,0,0,0,-329,0.12
22/11/2023,0,0,0(0.00 %),0,0,0,0,-329,0.12
23/11/2023,0,0,0(0.00 %),0,0,0,0,0,343.0
24/11/2023,0,0,0(0.00 %),0,0,0,0,0,343.0
27/11/2023,0,0,0(0.00 %),0,0,0,0,0,343.0
28/11/2023,0,0,0(0.00 %),0,0,0,0,0,343.0
29/11/2023,0,0,0(0.00 %),0,0,0,0,0,343.0
30/11/2023,0,0,0(0.00 %),0,0,0,0,0,343.0
01/12/2023,0,0,0(0.00 %),0,0,0,0,0,343.0
04/12/2023,0,0,0(0.00 %),0,0,0,0,0,343.0
05/12/2023,0,0,0(0.00 %),0,0,0,0,0,343.0
06/12/2023,0,0,0(0.00 %),0,0,0,0,0,343.0
07/12/2023,0,0,0(0.00 %),0,0,0,0,0,343.0
08/12/2023,0,0,0(0.00 %),0,0,0,0,0,343.0
11/12/2023,0,0,0(0.00 %),0,0,0,0,0,343.0
12/12/2023,0,0,0(0.00 %),0,0,0,0,0,343.0
13/12/2023,0,0,0(0.00 %),0,0,0,0,0,343.0
14/12/2023,0,0,0(0.00 %),0,0,0,0,0,343.0
15/12/2023,0,0,0(0.00 %),0,0,0,0,0,343.0
18/12/2023,0,0,0(0.00 %),0,0,0,0,0,343.0
19/12/2023,0,0,0(0.00 %),0,0,0,0,0,343.0
20/12/2023,0,0,0(0.00 %),0,0,0,0,0,343.0
21/12/2023,0,0,0(0.00 %),0,0,0,0,0,343.0
22/12/2023,0,0,0(0.00 %),0,0,0,0,0,343.0
25/12/2023,0,0,0(0.00 %),0,0,0,0,0,343.0
26/12/2023,0,0,0(0.00 %),0,0,0,0,-32900,0.12
27/12/2023,0,0,0(0.00 %),0,0,0,0,0,0.0
28/12/2023,0,0,0(0.00 %),0,0,0,0,0,0.0
29/12/2023,0,0,0(0.00 %),0,0,0,0,-32900,0.12
02/01/2024,0,0,0(0.00 %),0,0,0,0,-32900,0.12
03/01/2024,0,0,0(0.00 %),0,0,0,0,0,343.0
04/01/2024,0,0,0(0.00 %),0,0,0,0,0,343.0
05/01/2024,0,0,0(0.00 %),0,0,0,0,0,343.0
08/01/2024,0,0,0(0.00 %),0,0,0,0,0,343.0
09/01/2024,0,0,0(0.00 %),0,0,0,0,-32900,0.12
10/01/2024,0,0,0(0.00 %),0,0,0,0,-32900,0.12
11/01/2024,0,0,0(0.00 %),0,0,0,0,-32900,0.12
12/01/2024,0,0,0(0.00 %),0,0,0,0,0,343.0
15/01/2024,0,0,0(0.00 %),0,0,0,0,-32900,0.12
16/01/2024,0,0,0(0.00 %),0,0,0,0,-32900,0.12
17/01/2024,0,0,0(0.00 %),0,0,0,0,-32900,0.12
18/01/2024,0,0,0(0.00 %),0,0,0,0,0,343.0
19/01/2024,0,0,0(0.00 %),0,0,0,0,0,343.0
22/01/2024,0,0,0(0.00 %),0,0,0,0,0,343.0
23/01/2024,0,0,0(0.00 %),0,0,0,0,0,343.0
24/01/2024,0,0,0(0.00 %),0,0,0,0,0,343.0
25/01/2024,0,0,0(0.00 %),0,0,0,0,0,343.0
26/01/2024,0,0,0(0.00 %),0,0,0,0,0,343.0
29/01/2024,0,0,0(0.00 %),0,0,0,0,-32900,0.12
30/01/2024,0,0,0(0.00 %),0,0,0,0,-32900,0.12
31/01/2024,0,0,0(0.00 %),0,0,0,0,-32900,0.12
01/02/2024,0,0,0(0.00 %),0,0,0,0,0,343.0
02/02/2024,0,0,0(0.00 %),0,0,0,0,-32900,0.12
05/02/2024,0,0,0(0.00 %),0,0,0,0,0,0.0
06/02/2024,0,0,0(0.00 %),0,0,0,0,-32900,0.12
07/02/2024,0,0,0(0.00 %),0,0,0,0,-32900,0.12
15/02/2024,0,0,0(0.00 %),0,0,0,0,-32900,0.12
16/02/2024,0,0,0(0.00 %),0,0,0,0,-32900,0.12
19/02/2024,0,0,0(0.00 %),0,0,0,0,-32900,0.12
20/02/2024,0,0,0(0.00 %),0,0,0,0,-32900,0.12
21/02/2024,0,0,0(0.00 %),0,0,0,0,-32900,0.12
22/02/2024,0,0,0(0.00 %),0,0,0,0,-32900,0.12
23/02/2024,0,0,0(0.00 %),0,0,0,0,0,0.0
26/02/2024,0,0,0(0.00 %),0,0,0,0,-32900,0.12
27/02/2024,0,0,0(0.00 %),0,0,0,0,0,0.0
28/02/2024,0,0,0(0.00 %),0,0,0,0,0,0.0
29/02/2024,0,0,0(0.00 %),0,0,0,0,-32900,0.12
01/03/2024,0,0,0(0.00 %),0,0,0,0,0,0.0
04/03/2024,0,0,0(0.00 %),0,0,0,0,0,0.0
05/03/2024,0,0,0(0.00 %),0,0,0,0,-32900,0.12
06/03/2024,0,0,0(0.00 %),0,0,0,0,0,0.0
07/03/2024,0,0,0(0.00 %),0,0,0,0,0,0.0
08/03/2024,0,0,0(0.00 %),0,0,0,0,0,0.0
11/03/2024,0,0,0(0.00 %),0,0,0,0,0,0.0
12/03/2024,0,0,0(0.00 %),0,0,0,0,-32900,0.12
13/03/2024,0,0,0(0.00 %),0,0,0,0,-32900,0.12
14/03/2024,0,0,0(0.00 %),0,0,0,0,0,0.0
15/03/2024,0,0,0(0.00 %),0,0,0,0,0,0.0
18/03/2024,0,0,0(0.00 %),0,0,0,0,-32900,0.12
19/03/2024,0,0,0(0.00 %),0,0,0,0,-32900,0.12
20/03/2024,0,0,0(0.00 %),0,0,0,0,0,0.0
21/03/2024,0,0,0(0.00 %),0,0,0,0,0,0.0
